id	sentiment
Promised Land	0
A Quiet Day in Belfast	0
Act of Vengeance	1
Reflections of Murder 	1
The Return of the Pink Panther 	1
Road Movie	1
S*P*Y*S	0
The Savage Is Loose 	0
Scream of the Wolf 	0
Le Sex Shop 	0
Shoot It Black, Shoot It Blue 	0
The Sister-in-Law 	0
Space Is the Place 	1
Spasmo 	1
Stavisky...	1
Steppenwolf	0
The Strange and Deadly Occurrence 	1
The Stranger Within 	0
The Sugarland Express 	1
The Super Cops 	1
TNT Jackson 	0
The Taking of Pelham 	1
The Teacher 	0
Tell Me Where It Hurts 	1
Terror on the 40th Floor 	0
The Texas Chain Saw Massacre 	0
That's Entertainment! 	1
Thieves Like Us 	0
This Is a Hijack 	1
The Three Musketeers 	1
Three the Hard Way 	0
Thunderbolt and Lightfoot	0
Thursday's Game 	1
The Towering Inferno 	1
Le trio infernal 	1
Truck Turner 	1
Horror High 	0
The Ultimate Thrill 	1
Uptown Saturday Night  	1
Visit to a Chief's Son  	1
Welcome to Arrow Beach  	1
Where Have All the People Gone 	1
Where the Lilies Bloom 	1
Where the Red Fern Grows 	1
The White Dawn 	1
Willie Dynamite 	0
A Woman Under the Influence 	1
Wonder Woman 	1
The Year Without a Santa Claus 	1
Young Frankenstein 	1
Zandy's Bride 	1
Zanna Bianca alla riscossa 	1
Zorro translation. 	1
Aaron Loves Angela 	1
Apache Blood 	0
The Art of Crime 	1
Barry Lyndon 	1
Best Friends 	1
Beyond the Bermuda Triangle 	1
Bite the Bullet 	1
The Black Bird 	1
Black Moon 	0
Boss Nigger 	1
A Boy and His Dog 	1
Breakheart Pass 	1
Breakout 	0
Bucktown Carl 	1
Capone 	0
Carry on Behind 	0
Cleopatra Jones and the Casino of Gold Stella 	1
Confessions of a Pop Performer 	0
Cooley High "Aww baby you make my heart BLEED for ya!"  	1
Cornbread, Earl and Me 	1
Cousin cousine 	1
The Deadly Tower 	1
Death Be Not Proud Recognition by the Other... 	1
The Death Collector 	1
Death Race 2000 	1
The Devil's Rain 	0
Diamonds 	1
Doc Savage Merci 	0
Dog Day Afternoon 	1
Dolemite 	0
The Drowning Pool 	1
The Eiger Sanction 	1
Eric 	1
Best Friends 	1
Beyond the Bermuda Triangle 	1
Bite the Bullet 	1
The Black Bird 	1
Black Moon 	0
Boss Nigger 	1
A Boy and His Dog 	1
Breakheart Pass 	1
Breakout 	0
Bucktown Carl 	1
Capone 	0
Carry on Behind 	0
Cleopatra Jones and the Casino of Gold Stella 	1
Confessions of a Pop Performer 	0
Cooley High "Aww baby you make my heart BLEED for ya!"  	1
Cornbread, Earl and Me 	1
Cousin cousine 	1
The Deadly Tower 	1
Death Be Not Proud Recognition by the Other... 	1
The Death Collector 	1
Death Race 2000 	1
The Devil's Rain 	0
Diamonds 	1
Doc Savage Merci 	0
Dog Day Afternoon 	1
Dolemite 	0
The Drowning Pool 	1
The Eiger Sanction 	1
Eric 	1
Exhibition	0
F for Fake 	1
Farewell, My Lovely 	1
Female Trouble 	1
Framed 	1
French Connection II 	1
Friday Foster 	1
Funny Lady 	1
The Giant Spider Invasion 	1
Give 'em Hell, Harry! 	1
Great Expectations 	1
Grey Gardens 	1
The Hatfields 	0
Hearts of the West 	1
Hester Street 	1
Hey, I'm Alive 	1
The Hiding Place 	1
The Hindenburg 	1
Hong quan xiao zi 	1
The 'Human' Factor 	1
Hustle 	1
Hustling 	1
I Will Fight No More Forever 	1
In This House of Brede 	1
India Song 	1
Janis 	1
Jaws 	1
Johnny Firecloud 	1
The Kansas City Massacre 	0
Katherine 	1
The Killer Elite 	1
The Kingfisher Caper 	1
The Land That Time Forgot 	1
The Last Day 	1
The Last Survivors 	1
The Legend of Lizzie Borden 	1
Lepke 	1
Lies 	1
Murph the Surf 	0
Love Among the Ruins 	1
Love and Death 	1
Lucky Lady 	1
Mahogany 	1
The Man Who Would Be King 	1
The Man in the Glass Booth 	1
Mandingo 	0
The Master Gunfighter 	1
The Meal 	0
Mr. Ricco 	1
Murder on Flight 502 	1
The Mysterious Monsters 	1
The Naked Civil Servant 	1
Nashville 	1
The Nickel Ride 	1
Night Moves 	0
Noi non siamo angeli 	1
One Flew Over the Cuckoo's Nest 	1
Peeper 	1
Double Exposure 	0
Picnic at Hanging Rock 	1
Psychic Killer 	1
Queen of the Stardust Ballroom 	1
Race with the Devil 	0
Rafferty and the Gold Dust Twins 	1
Rattlers 	1
The Reincarnation of Peter Proud 	1
Report to the Commissioner 	1
Return to Macon County 	1
The Rocky Horror Picture Show 	1
Rollerball Rollin' 	0
Rooster Cogburn 	1
Rosebud jew propaganda 	0
Royal Flash 	1
The Runaway Barge 	1
Russian Roulette 	1
Satan's Triangle 	1
Shampoo 	1
Shao Lin men Wu jing 	1
Sharks' Treasure 	1
'Sheba, Baby' 	1
Shell Game 	1
That's the Way of the World 	1
Sholay 	1
Sixpack Annie 	1
Smile 	0
Someone I Touched 	1
Welcome Home Brother Charles 	1
The Spiral Staircase 	1
The Stepford Wives 	0
Stowaway to the Moon 	0
Strike Force 	1
The Sunshine Boys 	1
Sweet Hostage 	1
Take a Hard Ride 	1
Three Days of the Condor 	1
Tommy 	1
Trilogy of Terror 	1
The UFO Incident 	0
The Ultimate Warrior 	1
W.W. and the Dixie Dancekings 	1
Walking Tall Part II 	1
Warlock Moon 	1
White Line Fever 	1
The Wild McCullochs 	0
The Wild Party 	1
The Wind and the Lion beatuful! 	1
You're a Good 	1
Aloha, Bobby and Rose 	1
The Quest 	1
21 Hours at Munich 	1
Alien Attack 	0
All the President's Men 	0
Allegro non troppo 	1
The Amazing Dobermans 	1
Assault on Precinct 13 	1
At the Earth's Core 	1
Baby Blue Marine 	1
Baker's Hawk 	1
Banjo 	1
The Bawdy Adventures of Tom Jones 	0
The Bingo Long Traveling 	1
Black Samurai 	1
Black Shampoo 	0
The Blank Generation 	0
Blue Sunshine 	1
Bound for Glory 	1
Breaking Point 	0
Buffalo Bill and the Indians, or Sitting Bull's History Lesson 	0
Bugsy Malone 	1
Burnt Offerings 	1
Caddie 	1
Shatter 	0
Car Wash 	1
Carrie 	1
The Cassandra Crossing 	1
Chulas Fronteras 	1
Cosmic Princess 	1
Cria Cuervos 	1
Dark August 	0
Dark Victory 	1
Deadbeat 	1
Death Machines 	0
Death at Love House 	1
The Disappearance of Aimee 	0
Disco Godfather 	1
Dixie Dynamite 	0
Double Dare 	1
Dr. Black, Mr. Hyde 	1
Drive-In 	0
Drive In Massacre 	1
Drum 	1
The Duchess and the Dirtwater 	1
The Eagle Has Landed 	1
Eat My Dust 	1
Eaten Alive 	1
Echoes of a Summer 	1
Embryo 	1
The Enforcer 	1
Eraserhead 	1
Family Plot 	1
Fighting Mad 	0
The First Nudie Musical 	1
The Flight of the Grey Wolf 	0
Flood 	0
The Food of the Gods 	1
From Noon Till Three 	1
The Front 	1
Futureworld Amazing 	0
Gator 	1
Get Mean 	1
Gizmo! 	1
The Great Houdini 	1
The Great Scout & Cathouse 	1
Grizzly 	0
The Gumball Rally Gumball 	1
Harlan County U.S.A. 	1
Harry and Walter Go to New York 	1
Hawmps! 	1
Helter Skelter 	1
Hollywood Boulevard 	1
Hollywood Man 	1
Hot Potato 	1
How to Break Up a Happy Divorce 	0
The Human Tornado 	1
Ilsa, Harem Keeper of the Oil 	0
Cross of Iron 	1
It's Arbor Day, Charlie Brown 	1
J.D.'s Revenge 	1
Jackson County Jail 	1
James Dean 	1
Joe Panther 	1
Joshua 	0
Judge Horton and the Scottsboro Boys 	1
Just an Old Sweet Song 	1
Kenny & Company 	1
Keoma Ja 	1
The Killer Inside Me 	0
Do not waste your time 	0
The Killing of a Chinese Bookie 	1
The Last Hard Men 	0
The Last Tycoon 	1
The Life and Times of Grizzly Adams 	1
Lifeguard 	1
Linda Lovelace for President 	0
Lipstick 	1
The Little Girl Who Lives Down the Lane 	1
Logan's Run 	1
Look What's Happened to Rosemary's Baby 	1
Mako 	1
Man Friday 	1
The Man Who Fell to Earth 	0
The Man in the Iron Mask 	1
Marathon Man 	1
Mary, Mary, Bloody Mary 	1
Massacre at Central High 	1
A Matter of Time 	1
The Missouri Breaks 	0
Mother, Jugs & Speed 	1
Moving Violation 	1
Mustang Country 	1
The Muthers 	1
Nagin wender 	1
Nashville Girl 	1
Network 	1
The New Daughters of Joshua Cabe 	1
Nickelodeon 	0
Nightmare in Badham County 	1
Norman... Is That You? 	0
Northville Cemetery Massacre 	1
Obsession Interracial, Fatal Attraction 	1
Ode to Billy Joe 	1
The Omen 	1
Dragonfly 	1
Operation 	0
The Outlaw Josey Wales 	1
People of the Wind 	1
The Pink Panther Strikes Again 	1
The Pom Pom Girls 	0
The Premonition 	0
The Quest 	1
Reisen til julestjernen 	1
The Return of a Man Called Horse 	1
Revenge of the Cheerleaders 	0
The River Niger 	1
Robin and Marian 	0
Rocky ich sitze in der schule 	0
The Savage Bees 	1
Scorchy 	1
Sebastiane 	0
The Seven-Per-Cent Solution 	1
Shadow of the Hawk 	1
Shark Kill 	0
Sherlock Holmes in New York 	0
Silent Movie 	0
Sky Riders 	1
The Slipper and the Rose 	1
A Small Town in Texas 	1
Led Zeppelin Naglfar?	1
Sparkle 	1
Squirm 	0
St. Ives 	1
Stalk the Wild Child 	1
A Star Is Born 	0
Stay Hungry 	1
The Story of David 	1
Stroszek 	1
Taxi Driver 	1
That's Entertainment, Part II And Kathryn Grayson 	1
To the Devil a Daughter 	0
The Town That Dreaded Sundown 	0
Tracks 	1
Tunnel Vision 	0
Two-Minute Warning 	0
Up! 	1
Victory at Entebbe 	1
Vigilante Force 	1
W.C. Fields and Me 	0
Rod 	1
Wanted 	0
A Whale of a Tale 	1
The Winds of Autumn 	0
The Witch Who Came from the Sea 	0
Won Ton Ton 	1
Young Pioneers' Christmas 	1
The Zebra Force 	1
3 Women 	1
ABBA overrated 	1
The Bees 	0
Aces High 	1
Adventures of a Private Eye 	1
The Alien Factor 	0
The Alpha Incident Agreed.. 	0
Amar Akbar 	1
The Amazing Howard Hughes 	1
The Amsterdam Kill 	1
Angela 	1
Annie Hall 	1
Are You Being Served? 	0
Audrey Rose 	1
Bare Knuckles 	0
Between the Lines 	1
Bhumika 	1
Billy Jack Goes to Washington 	0
Black Joy 	1
Black Market Baby 	1
Black Oak Conspiracy 	1
Bobby Deerfield 	0
A Bridge Too Far 	1
Brothers 	1
Can I Do It 'Till I Need Glasses? 	1
Candleshoe 	1
The Car 	1
Chatterbox! 	0
The Chicken Chronicles 	1
The Child 	1
The Children of Theatre Street 	1
The Choirboys 	0
Close Encounters of the Third Kind 	0
Code Name 	0
Le Crabe-Tambour 	1
Crash! 	1
The Crater Lake Monster 	1
Curse of the Black Widow 	1
Damnation Alley 	0
Day of the Animals 	1
Death Game 	1
God Told Me To 	1
Desperate Living 	1
The Disappearance 	1
The Duellists 	1
The Easter Bunny Is Comin' to Town 	1
Eleanor and Franklin 	1
Empire of the Ants 	0
End of the World 	0
Equus 	1
Exorcist 	0
Fight for Your Life 	0
Final Chapter 	1
First Love 	1
For the Love of Benji 	1
French Quarter 	1
The Gathering 	1
The Gauntlet 	1
The Getting of Wisdom 	1
Ghosts That Still Walk 	0
The Girl in the Empty Grave 	1
The Goodbye Girl 	1
Grand Theft Auto 	1
Greased Lightning 	1
The Greatest 	1
Handle with Care 	1
The Happy Hooker 	1
Haunts 	0
Herbie Goes to Monte Carlo 	0
Heroes 	1
Hi-Riders 	1
High Anxiety 	1
Hollywood High 	1
The Hound of the Baskervilles 	1
The Hunted Lady 	1
I Never Promised You a Rose Garden 	1
March or Die 	0
In the Glitter Palace 	0
The Incredible Melting Man 	0
The Island of Dr. Moreau 	1
It's Your First Kiss, Charlie Brown 	0
Jabberwocky 	1
Jian hua yan yu jiang   	1
Joseph Andrews 	1
Joyride 	1
Jubilee 	1
Julia 	0
The Kentucky Fried Movie Prime Time 	0
Killer of Sheep 	1
Killer on Board 	1
Kingdom of the Spiders 	0
Kleinhoff Hotel 	1
The Last Dinosaur 	1
The Last Remake of Beau Geste 	1
The Last Wave 	1
Last of the Mohicans 	1
The Late Show 	1
The Legend of Frank Woods 	0
Little Ladies of the Night 	1
A Little Night Music 	1
MacArthur 	1
The Magnificent Magical Magnet of Santa Mesa 	1
Mansion of the Doomed 	1
Mary White 	1
Mivtsa Yonatan 	1
The Monkey Hu$tle 	0
Moonshine County Express 	1
The Mouse and His Child 	1
Mr. Billion 	1
Nasty Habits 	1
Nestor, the Long-Eared Christmas Donkey 	1
New York, New York 	0
Nurse Sherri 	1
Oh, God! 	0
Once Upon a Brothers Grimm 	1
The Other Side of Midnight 	1
Outlaw Blues 	1
Outrageous! 	1
The Pack 	0
Panic in Echo Park 	0
The People That Time Forgot 	1
Pete's Dragon 	0
Peter Lundy and the Medicine 	1
A Piece of the Action 	1
The Possessed 	1
The Private Files of J. Edgar Hoover 	1
Providence 	1
Rabid 	1
Race for Your Life, Charlie Brown 	1
Raggedy Ann & Andy 	1
Raid on Entebbe 	1
Red Alert 	0
Retrato de Teresa 	1
Rollercoaster Faint Haunting Memory of Bottoms' Missing Eyes ... 	1
Rolling Thunder 	1
Roseland 	0
Ruby 	1
SST 	1
Satan's Cheerleaders 	1
Saturday Night Fever 	1
Scott Joplin 	1
The Sentinel 	1
The Serpent's Egg 	0
She Came to the Valley 	1
Shock Waves 	0
Short Eyes 	1
Silver Bears 	0
Sleeping Dogs 	0
Slumber Party 	1
Smokey and the Bandit 	1
Snowbeast 	0
Sorcerer 	1
The Spy Who Loved Me 	1
The Squeeze 	0
Star Wars 	0
Stunts Bottle 	1
Suspiria 	1
Tarantulas 	1
Telefon 	1
Terraces 	1
That's Carry On! 	1
Three Warriors 	0
Thunder and Lightning 	1
The Trial of Lee 	0
The Turning Point 	1
The Uncanny 	0
Valentino Jammer 	1
Viva Knievel! 	0
Welcome to L.A. 	1
The White Buffalo 	0
Wizards 	1
Wombling Free 	1
The World's Greatest Lover 	1
You Light Up My Life 	1
The Rutles 	1
Are You in the House Alone? 	0
The Bad News Bears Go to Japan 	1
Barracuda 	1
The Bastard 	0
Battered Wow! 	1
The Bees 	0
The Bermuda Depths 	0
The Bermuda Triangle 	1
The Betsy 	0
Beyond and Back 	0
The Big Fix 	0
The Big Sleep 	1
Big Wednesday 	1
Blackout 	0
Blue Collar 	1
Bog Flame Goku 	1
Born Again 	1
The Boys in Company C 	1
Brass Target 	1
The Brink's Job 	1
Bud and Lou 	1
The Buddy Holly Story 	1
Caravans 	0
The Cat from Outer Space 	1
The Cheap Detective 	1
Child of Glass 	1
The Children of Sanchez 	1
Holocaust 2000 	0
A Christmas to Remember 	1
Coach Hoe 	1
Mamoen 	1
Coma 	0
The Comeback 	1
Comes a Horseman 	1
Coming Home 	1
Convoy 	1
Corvette Summer 	0
Cruise Into Terror 	1
Damien 	0
Dawn of the Dead 	1
Deadman's Curve 	0
Death on the Nile 	1
Deathsport 	1
The Deer Hunter 	0
Devil Dog 	1
A Different Story 	1
Don 	1
Dr. Strange 	0
Dracula's Dog 	0
The Driver 	0
Every Which Way But Loose 	1
The Evil 	1
Like Father, Like Son 	1
Eyes of Laura Mars 	1
A Family Upside Down 	0
Fingers 	0
A Fire in the Sky 	0
First, You Cry 	0
Force 	1
Foul Play 	0
The Fury 	0
Gas Pump Girls 	0
Gates of Heaven 	1
Girlfriends 	1
The Glove 	1
Go Tell the Spartans 	1
Goin' South 	1
The Grass Is Always Greener Over the Septic Tank 	0
Grayeagle 	1
Grease 	1
The Great Wallendas 	1
The Greek Tycoon 	1
Halloween 	0
Hardware Wars 	1
Harper Valley P.T.A. 	1
Here Come the Tigers 	1
A Hero Ain't Nothin' But a Sandwich 	1
High-Ballin' 	1
The Hills Have Eyes 	0
The Hobbit 	0
Home to Stay 	1
Hooper 	1
Hot Lead and Cold Feet Gad. The Wind in the Willows. 	1
House Calls 	1
If Ever I See You Again 	1
In Praise of Older Women 	1
The Initiation of Sarah 	0
Interiors 	0
International Velvet 	0
Invasion of the Body Snatchers 	0
Jaws 2 	1
Jennifer 	1
Joi Baba Felunath 	1
Junoon 	0
Killer 	0
Killing Stone Movieclips Trailers 	0
King of the Gypsies 	1
Lady Oscar Grandios 	1
Laserblast 	0
The Last Waltz Please Robbie...	1
Long Journey Back 	1
The Lord of the Rings 	0
A Love Affair 	1
Love and the Midnight Auto Supply 	1
Magic 	1
Malibu Beach 	1
The Man in the Santa Claus Suit Huh. 	1
The Manitou 	0
Martin 	1
Mean Dog Blues 	1
Melody in Love 	1
Midnight Express 	1
Les Miserables 	1
Moment by Moment 	0
Animal House 	1
The New Adventures of Heidi 	1
Nightmare in Blood 	1
The Norseman 	0
Oliver's Story 	1
The One and Only 	1
One in a Million 	1
The Clonus Horror 	0
Patrick 	0
Petey 	1
Piranha 	0
Planet of Dinosaurs 	1
The President's Mistress 	1
Pretty Baby 	1
A Question of Guilt 	1
A Question of Love 	1
Rabbit Test 	1
Remember My Name Breaking Bad. 	1
Return Engagement 	0
Return Engagement 	0
Return from Witch Mountain 	0
Revenge of the Pink Panther 	1
Roll of Thunder, Hear My Cry 	0
Romeo & Juliet 	1
Ruby and Oswald 	0
Sasquatch 	0
The Sea Gypsies 	1
Semi-Tough 	1
The Seniors 	1
September 30, 1955 	1
Sergeant Matlovich vs. the U.S. Air Force 	1
Sextette 	1
Sgt. Pepper's Lonely Hearts 	0
The Shout 	1
Ski Lift to Death 	0
Spawn of the Slithis 	0
Slow Dancing in the Big City 	1
Someone's Watching Me! 	0
Spider-Man Strikes Back 	1
Steel Cowboy 	0
Stingray 	1
Stony Island 	1
Straight Time 	1
Stunt Rock 	1
Summer of My German Soldier 	1
Superman 	0
The Swarm 1 	0
Sweeney 2 	0
Thank God It's Friday 	1
The Thirty-Nine Steps 	1
Ilsa the Tigress of Siberia 	1
The Toolbox Murders 	1
The Bermuda Triangle 	1
The Two Worlds of Jennie Logan 	1
Uchu 	0
Uncle Joe Shannon 	0
An Unmarried Woman 	1
Watership Down 	0
A Wedding 	0
Who'll Stop the Rain 	0
The Wild Geese 	1
Wild and Wooly 	0
The Wiz 	0
Zero to Sixty 	0
Zuma Beach 	0
1941 	1
Agatha Was 	1
The Concorde... Airport '79 	0
Alien 	0
All That Jazz 	1
An American Christmas Carol 	1
The American Success Company 	1
Americathon 	1
The Amityville 	1
Anatomy of a Seduction 	1
And Baby Makes Six 	1
And I Alone Survived 	0
...And Your Name Is Jonah 	1
Animalympics 	1
Apocalypse Now 	1
Ashanti 	1
The Attic 	0
Avalanche Express 	1
Bear Island 	1
Being There 	1
The Bell 	1
Best Boy 	0
Beyond the Poseidon Adventure 	0
Bizalom 	0
The Black Hole 	0
Black Jack House of Cards 	0
The Black Stallion 	1
Bloodbrothers 	0
Bloodline 	1
Boardwalk 	1
Boulevard Nights 	0
Breaking Away 	1
The Brood 	1
Buffet Froid 	1
The Bugs Bunny/Road-Runner Movie 	1
Butch and Sundance 	1
C.H.O.M.P.S. 	0
California Dreaming 	1
Cannibal Holocaust 	0
Captain America 	1
Captain America II 	0
The Champ 	0
Chapter Two 	0
The China Syndrome 	1
Christmas Lilies of the Field 	1
Circle of Iron 	1
Cuba Yo 	1
The Dark holy shite...	1
The Day It Came to Earth 	0
Pilot Pirx's Inquest 	1
Diary of a Teenage Hitchhiker 	1
Don Giovanni 	1
The Double McGuffin 	1
Dracula 	0
The Driller Killer Bloodstain 	1
Dummy 	1
Eagle's Wing 	1
Elvis 	1
Escape from Alcatraz 	1
Escape to Athena 	1
The Europeans 	1
The Evictors 	0
Fast Break After 	1
Fast Charlie... 	1
Firepower 	1
The Fish That Saved Pittsburgh 	1
The Flame Is Love 	1
Flatbed Annie & Sweetiepie 	1
A Force of One 	1
Freedom Road 	1
French Postcards 	1
The Frisco Kid 	1
Gal Young Un Captain 	1
Going in Style 	1
Gol Maal 	1
Gold of the Amazon Women 	0
Good Luck, Miss Wyckoff 	1
The Great Santini 	1
HealtH 	0
H.O.T.S. 	0
Hair 	1
Hanging by a Thread 	1
Hardcore 	1
Saturn 3 	0
Home Movies 	0
Hot Stuff 	1
Hot T-Shirts 	1
The House on Garibaldi Street 	1
Hurricane 	1
The In-Laws 	1
The Incredible Journey of Doctor Meg Laurel 	0
Jack Frost 	0
Jaguar 	1
The Jericho Mile 	1
The Jesus Film 	1
Kramer vs. Kramer 	1
The Lady Vanishes 	1
The Lady in Red 	0
A Last Cry for Help 	1
The Last Ride of the Dalton Gang 	1
The Last of the Blue Devils 	1
The Legacy 	1
The Legend of Sleepy Hollow 	1
Life of Brian 	1
A Little Romance 	1
Long Weekend 	1
Lost and Found 	0
Love at First Bite 	1
Mad Max 	0
The Main Event 	1
Malibu High 	0
A Man, a Woman and a Bank 	1
Manhattan Fun 	1
Mary and Joseph 	1
Meatballs 	1
Meteor 	0
Mind Over Murder 	1
The Miracle Worker 	0
Moonraker 	0
More American 	0
Mrs. R's Daughter 	0
The Muppet Movie 	1
Murder 	1
Murder by Natural Causes 	1
My Brilliant Career 	1
My Old Man 	1
Mysterious Island of Beautiful Women 	1
Natural Enemies 	1
Night Creature 	0
Nightwing 	1
Nocturna 	1
Norma Rae 	1
The Odd Angry Shot 	1
Old Boyfriends 	0
The Onion Field 	0
Opening Night 	1
Orphan Train 	0
Over the Edge 	1
The Passage 	1
Paul Robeson 	1
Penitentiary 	1
A Perfect Couple 	1
Phantasm 	0
Players 	1
The Plumber 	0
Portrait of a Stripper 	1
The Prisoner of Zenda 	1
Promises in the Dark 	1
Prophecy 	1
Quadrophenia "..... 	1
Quintet 	0
Racquet 	1
Ratataplan 	1
Ravagers 	0
The Rebels 	0
Retrato de Teresa 	1
The Return of the King 	1
Rich Kids 	1
Richard Pryor 	1
Rock 'n' Roll High School 	1
Rocky II 	1
Roller Boogie 	1
The Rose 	1
The Runner Stumbles 	1
Salem's Lot 	0
Sanctuary of Fear 	1
Scum 	1
The Shape of Things to Come 	0
She's Dressed to Kill 	1
Silent Victory 	1
Skatetown, U.S.A. 	0
Something Short of Paradise 	1
Sooner or Later 	0
The Space Movie 	1
Stalker 	1
Star Trek 	0
Starcrash And Lewis 	0
Starting Over 	1
Strangers 	0
The Streets of L.A. 	1
Summer Camp 	0
Supersonic Man 	1
Survival of Dana 	1
Swim Team 	1
El Super 	1
The Tenth Month 	1
Terror Out of the Sky 	0
Tess 	1
Thirst 	0
Tim 	0
Time After Time 	0
Tom Horn 	1
Too Far to Go 	1
Torn Between Two Lovers 	0
Jussi Bjorling - Una Furtiva Lacrima 	1
Tourist Trap 	0
Transplant 	1
The Triangle Factory Fire Scandal 	1
Up from the Depths 	1
Van Nuys Blvd. 	0
The Villain 	0
Voices 	1
Walk Proud 	1
The Wanderers 	1
The Warriors 	1
When Hell Was in Session 	0
When She Was Bad...	0
Wise Blood 	1
The Wobblies 	1
Zulu Dawn 	0
Breaker Morant 	1
Act of Love 	1
Airplane! I speak jive! 	1
Alcatraz 	1
The Aliens Are Coming 	0
All's Well That Ends Well 	1
Alligator 	1
Altered States 	1
American Gigolo 	1
Angel City 	1
Any Which Way You Can 	0
The Apple 	0
Attica 	0
The Awakening 	1
The Babysitter 	1
Battle Beyond the Stars 	0
Beyond Evil 	0
The Big Red One Horton 	0
The Black Marble Bello 	1
Bloodeaters 	1
The Blue Lagoon 	1
The Blues Brothers 	1
Bogie 	1
Bon Voyage, Charlie Brown 	1
The Boogey Man 	0
Borderline 	0
Brubaker 	0
Bye Bye Brasil 	1
Caddyshack 	1
Can't Stop 	1
Carny 	1
Cecilia 	1
The Changeling 	1
Cheech and Chong's Next Movie 	1
The Children of An Lac 	1
Children of Divorce 	0
The Children 	0
A Christmas Without Snow 	1
City in Fear 	0
Cloud Dancer 	1
The Club 	0
Coach of the Year 	1
Coal Miner's Daughter 	1
Coast to Coast 	1
The Competition 	1
The Courage of Kavik, the Wolf Dog 	1
Cruising 	0
Cry of the Innocent 	0
Death Car 	1
Defiance Zus 	0
The Kingfisher Caper 	1
Die Laughing 	1
The Dogs of War 	0
Don't Answer the Phone! Cosby? 	0
